category_id,description,parent_id_category,root_id_category
2,ar e ventilacao,1,1
3,automotivo,1,1
4,bebes,1,1
5,beleza e perfumaria,1,1
6,cama mesa e banho,1,1
7,cameras filmadoras e drones,1,1
8,casa e construcao,1,1
9,dvds e blu-ray,16,16
10,eletrodomesticos,1,1
11,eletronicos - audio,2139,2139
12,eletronicos - tela,2139,2139
13,eletroportateis,1,1
14,games,1,1
15,informatica,1,1
16,livros dvds e blu-ray,1,1
17,relogios e joias,1,1
18,saude,1,1
19,telefonia,1,1
20,aquecedor,2,2
21,ar condicionado,2,2
22,climatizador,2,2
23,umidificador,2,2
24,ventilador e circulador,2,2
25,acessorios internos e externos,3,3
26,farois lanternas e iluminacao,3,3
27,pecas,3,3
28,pneus rodas e calotas,3,3
29,alarmes e seguranca,3,3
30,som automotivo,3,3
31,alimentacao,4,4
32,bercario,4,4
33,brinquedos para bebe,4,4
34,chupetas e mordedores,4,4
35,desenvolvimento e diversao,4,4
36,enxoval do bebe,4,4
37,higiene e saude,4,4
38,para mamae,4,4
39,passeio,4,4
40,quarto do bebe,4,4
41,seguranca,4,4
42,barbearia,5,5
43,cuidados pessoais / dermocosmeticos,5,5
44,depilacao,5,5
45,maquiagem,5,5
46,nutricosmeticos,5,5
47,perfumaria,5,5
48,produtos para cabelo,5,5
49,protecao solar,5,5
50,unhas,5,5
51,banho,6,6
52,cama,6,6
53,linha infantil,6,6
54,mesa,6,6
55,acessorios para cameras e filmadoras,7,7
56,camera digital,7,7
57,camera instantanea,7,7
58,drone,7,7
59,filmadora digital,7,7
60,iluminacao e estudio,7,7
61,banheiro,8,8
62,cozinha e area de servico,8,8
63,ferramentas,8,8
64,filme,9,16
65,musica,9,16
66,adega climatizada,10,10
67,bebedouro e purificador,10,10
68,churrasqueira,10,10
69,coifa e depurador,10,10
70,cooktop,10,10
71,fogao,10,10
72,forno,10,10
73,freezer,10,10
74,geladeira / refrigerador,10,10
75,lava loucas,10,10
76,linha industrial,10,10
77,maquina de lavar e tanquinho,10,10
78,micro-ondas,10,10
79,pecas de reposicao,10,10
80,secadora de roupa e centrifuga,10,10
81,acessorios,11,2139
82,caixa de som,11,2139
83,fone de ouvido,11,2139
84,micro system / mini system,11,2139
85,acessorios para tv e video,12,2139
86,tv,12,2139
87,video,12,2139
88,aspirador e vassoura eletrica,13,13
89,batedeira e acessorios,13,13
90,cafeteira,13,13
91,centrifuga e espremedor de fruta,13,13
92,chaleira eletrica,13,13
93,churrasqueira e utensilios,13,13
94,cozinha criativa,13,13
95,enceradeira,13,13
96,ferro de passar e passadeira avapor,13,13
97,forno eletrico,13,13
98,fritadeira eletrica,13,13
99,grill sanduicheira e torradeira,13,13
100,liquidificador e acessorios,13,13
101,maquina de costura,13,13
102,mixer e processador de alimentos,13,13
103,moedor e ralador,13,13
104,panela eletrica,13,13
105,pipoqueira,13,13
106,robo aspirador,13,13
107,vaporizador e higienizador,13,13
108,acessorios para videogame,14,14
109,console de video game,14,14
110,gift card,2571,2571
111,jogos,14,14
112,joystick / controle,14,14
113,pecas para videogame,14,14
114,acessorios e perifericos em geral,15,15
115,componentes,15,15
116,computadores e all in one,15,15
117,impressora,15,15
118,monitor,15,15
119,notebook,15,15
120,projetor,15,15
121,scanner,15,15
122,software,15,15
123,suprimentos,15,15
124,tablet,15,15
125,bijuterias,867,803
126,despertador,17,17
127,joias,17,17
128,relogio de parede,17,17
129,relogio de pulso,17,17
130,acessibilidade e mobilidade,18,18
131,equipamentos medicos e hospitalares,18,18
132,higiene bucal,18,18
133,higiene pessoal,18,18
134,medidores e testes,18,18
135,nebulizador e inalador,18,18
136,otica,18,18
137,primeiros socorros,18,18
138,purificadores de ar,18,18
139,remedios,18,18
140,saude sexual,18,18
141,vestuario medico e hospitalar,18,18
142,acessorios celular,19,19
143,acessorios fixa,19,19
144,celulares e smartphones,19,19
145,fixa,19,19
146,acessorios para mamadeiras,31,4
147,babadores,31,4
148,bicos de mamadeiras,31,4
149,cadeiras de alimentacao,31,4
150,copos para bebes,31,4
151,kit alimentacao,31,4
152,mamadeiras,31,4
153,pratos potes e talheres,31,4
154,termicos e esterilizador,31,4
155,brinquedos,33,4
156,chocalhos,33,4
157,encaixar/empilhar,33,4
158,fantasias,33,4
159,pelucias/plush,33,4
160,praia e piscina,33,4
161,tapetes e ginasios,33,4
162,acessorios,34,4
163,chupetas,34,4
164,mordedores,34,4
165,prendedores de chupeta,34,4
166,andadores,35,4
167,bouncer e jumper,35,4
168,acessorios,36,4
169,bolsas e malas,36,4
170,calcados,36,4
171,meias,36,4
172,porta bebe,36,4
173,roupinhas,36,4
174,saco de roupa,36,4
175,banheiras,37,4
176,cueiro,37,4
177,cuidados com o bebe,37,4
178,fita adesiva para fralda,37,4
179,fralda de boca e fralda de ombro,37,4
180,fraldas,37,4
181,lencos umedecidos,37,4
182,perfumaria,37,4
183,pomada para assadura,37,4
184,shampoo & condicionador,37,4
185,termometro,37,4
186,toalhas e roupoes,37,4
187,trocador,37,4
188,troninho e redutor,37,4
189,cuidados com a mamae,38,4
190,extratores,38,4
191,acessorios para carrinhos de bebe,39,4
192,acessorios para carro,39,4
193,bebe conforto,39,4
194,cadeiras para auto,39,4
195,carrinhos de bebe,39,4
196,mini veiculos,39,4
197,bercos e cercados,40,4
198,decoracao para quarto,40,4
199,lencol e saia para berco,40,4
200,mantas e cobertores,40,4
201,mobiles,40,4
202,tapete,40,4
203,travesseiro,40,4
204,baba eletronica,41,4
205,grades de seguranca,41,4
206,travas e protetores,41,4
207,acessorios,42,5
208,aparador de barba/pelos,42,5
209,barbeador eletrico,42,5
210,espuma de barbear,42,5
211,kits para barba,42,5
212,lamina de barbear,42,5
213,oleo para barba,42,5
214,pos-barba,42,5
215,pre-barba,42,5
216,shampoo e condicionador de barba,42,5
217,corpo,5,5
218,face,5,5
219,labios,5,5
220,maos,5,5
221,olhos,5,5
222,pes,5,5
223,creme para depilacao,44,5
224,depilacao com cera,44,5
225,depilador eletrico,44,5
226,laminas para depilacao,44,5
227,acessorios de maquiagem,45,5
228,cilios posticos,45,5
229,demaquilante,45,5
230,estojos e kits de maquiagem,45,5
231,face,45,5
